Section,SECT_05_02
Total Length (m),475.78131733920486

Type,Length/Angle,Radius (m),Cumulative Forward (N),Cumulative Reverse (N),Forward Sidewall (N/m),Reverse Sidewall (N/m)
Straight,48.8m,,341,20960,,
Bend,0.5deg,3.9,342,18891,88,4844
Straight,38.5m,,957,18792,,
Bend,1.2deg,3.9,970,17151,249,4398
Straight,26.0m,,1797,16923,,
Bend,1.1deg,3.9,1819,15808,467,4053
Straight,14.8m,,2405,15612,,
Bend,0.6deg,3.9,2422,14973,621,3839
Straight,26.6m,,3442,14867,,
Bend,0.6deg,3.9,3465,13728,888,3520
Straight,37.0m,,4886,13637,,
Bend,1.9deg,3.9,4991,12075,1280,3096
Straight,18.0m,,5744,11822,,
Bend,2.7deg,3.9,5920,11051,1518,2834
Straight,28.7m,,7105,10722,,
Bend,1.7deg,3.9,7243,9510,1857,2438
Straight,26.5m,,8353,9329,,
Bend,2.4deg,3.9,8582,8213,2201,2106
Straight,25.6m,,9662,7994,,
Bend,3.9deg,3.9,10094,6923,2588,1775
Straight,8.5m,,10463,6627,,
Bend,0.3deg,3.9,10500,6260,2692,1605
Straight,16.9m,,11227,6238,,
Bend,1.0deg,3.9,11355,5523,2912,1416
Straight,23.5m,,12358,5461,,
Bend,2.3deg,3.9,12684,4496,3252,1153
Straight,23.6m,,13692,4380,,
Bend,1.8deg,3.9,13970,3432,3582,880
Straight,19.6m,,14813,3364,,
Bend,1.7deg,3.9,15096,2582,3871,662
Straight,26.0m,,16209,2534,,
Bend,2.1deg,3.9,16591,1601,4254,411
Straight,34.5m,,18065,1564,,
Bend,0.4deg,3.9,18154,693,4655,178
Straight,23.4m,,19160,689,,
Bend,1.7deg,3.9,19526,259,5007,67
Straight,7.6m,,19857,255,,
