Section,SECT_01
Total Length (m),400.21049878015333

Type,Length/Angle,Radius (m),Cumulative Forward (N),Cumulative Reverse (N),Forward Sidewall (N/m),Reverse Sidewall (N/m)
Straight,10.0m,,273,110484,,
Bend,44.5deg,3.9,452,110045,116,28217
Straight,0.7m,,480,66424,,
Bend,44.5deg,3.9,796,66395,204,17024
Straight,2.4m,,898,40076,,
Bend,45.0deg,3.9,1496,39970,384,10249
Straight,1.0m,,1540,23999,,
Bend,45.0deg,3.9,2565,23955,658,6142
Straight,31.4m,,3748,14383,,
Bend,0.6deg,3.9,3774,13049,968,3346
Straight,39.8m,,5305,12960,,
Bend,0.2deg,3.9,5316,11291,1363,2895
Straight,12.6m,,5853,11268,,
Bend,0.3deg,3.9,5874,10722,1506,2749
Straight,21.8m,,6787,10685,,
Bend,0.1deg,3.9,6795,9755,1742,2501
Straight,73.5m,,9612,9744,,
Bend,0.7deg,3.9,9692,6920,2485,1774
Straight,12.6m,,10234,6863,,
Bend,0.4deg,3.9,10284,6325,2637,1622
Straight,9.1m,,10677,6294,,
Bend,0.2deg,3.9,10702,5905,2744,1514
Straight,76.5m,,13772,5891,,
Bend,0.4deg,3.9,13843,3346,3549,858
Straight,21.9m,,14782,3329,,
Bend,1.8deg,3.9,15085,2470,3868,633
Straight,11.5m,,15583,2421,,
Bend,1.1deg,3.9,15784,1953,4047,501
Straight,12.7m,,16333,1928,,
Bend,0.8deg,3.9,16477,1430,4225,367
Straight,5.5m,,16716,1417,,
Bend,1.5deg,3.9,17011,1191,4362,305
Straight,14.2m,,17625,1170,,
Bend,1.4deg,3.9,17911,686,4592,176
Straight,15.3m,,18572,676,,
