Section,SECT_11_02
Total Length (m),442.77987742676237

Type,Length/Angle,Radius (m),Cumulative Forward (N),Cumulative Reverse (N),Forward Sidewall (N/m),Reverse Sidewall (N/m)
Straight,29.6m,,326,28484,,
Bend,5.4deg,3.9,346,27206,89,6976
Straight,13.1m,,717,25594,,
Bend,2.3deg,3.9,736,25026,189,6417
Straight,2.0m,,821,24369,,
Bend,4.1deg,3.9,859,24282,220,6226
Straight,13.2m,,1338,23188,,
Bend,11.3deg,3.9,1520,22615,390,5799
Straight,12.0m,,1998,19903,,
Bend,32.1deg,3.9,2875,19381,737,4970
Straight,9.3m,,3267,13469,,
Bend,1.3deg,3.9,3314,13065,850,3350
Straight,6.8m,,3606,12880,,
Bend,2.2deg,3.9,3699,12583,948,3226
Straight,10.4m,,4139,12267,,
Bend,4.2deg,3.9,4341,11816,1113,3030
Straight,23.3m,,5295,11266,,
Bend,1.4deg,3.9,5382,10276,1380,2635
Straight,30.1m,,6612,10109,,
Bend,0.9deg,3.9,6681,8845,1713,2268
Straight,26.3m,,7777,8755,,
Bend,3.4deg,3.9,8084,7652,2073,1962
Straight,22.1m,,9019,7362,,
Bend,0.3deg,3.9,9050,6435,2321,1650
Straight,17.9m,,9816,6412,,
Bend,3.5deg,3.9,10208,5658,2617,1451
Straight,37.3m,,11770,5440,,
Bend,0.6deg,3.9,11850,3984,3038,1022
Straight,45.0m,,13731,3957,,
Bend,2.5deg,3.9,14126,2390,3622,613
Straight,61.3m,,16673,2323,,
Bend,3.6deg,3.9,17372,955,4454,245
Straight,26.3m,,18504,917,,
Bend,5.8deg,3.9,19767,365,5069,94
Straight,51.1m,,21936,342,,
