Section,SECT_07_03
Total Length (m),458.4163571003115

Type,Length/Angle,Radius (m),Cumulative Forward (N),Cumulative Reverse (N),Forward Sidewall (N/m),Reverse Sidewall (N/m)
Straight,33.1m,,330,23037,,
Bend,1.7deg,3.9,886,20383,227,5226
Straight,28.6m,,868,21614,,
Bend,0.4deg,3.9,1747,18767,448,4812
Straight,28.4m,,1739,19988,,
Bend,1.4deg,3.9,2668,17663,684,4529
Straight,23.7m,,2626,18684,,
Bend,3.8deg,3.9,4619,15258,1184,3912
Straight,50.5m,,4426,17382,,
Bend,5.2deg,3.9,6099,13436,1564,3445
Straight,27.7m,,5747,14620,,
Bend,5.7deg,3.9,7515,11698,1927,2999
Straight,22.5m,,7042,12662,,
Bend,6.6deg,3.9,8730,10372,2238,2659
Straight,13.7m,,8102,10962,,
Bend,4.3deg,3.9,9608,9205,2464,2360
Straight,9.7m,,9150,9625,,
Bend,2.0deg,3.9,10645,7967,2730,2043
Straight,18.8m,,10411,8766,,
Bend,5.2deg,3.9,11887,7231,3048,1854
Straight,13.1m,,11210,7792,,
Bend,0.2deg,3.9,12906,5848,3309,1500
Straight,23.3m,,12882,6819,,
Bend,1.5deg,3.9,15933,3508,4085,899
Straight,67.1m,,15665,5837,,
Bend,3.5deg,3.9,18651,1909,4782,489
Straight,47.3m,,17932,3448,,
Bend,8.4deg,3.9,21150,1325,5423,340
Straight,13.2m,,19222,1835,,
Bend,11.4deg,3.9,24245,1048,6217,269
Straight,3.7m,,21313,1204,,
Bend,5.1deg,3.9,26262,508,6734,130
Straight,12.7m,,24799,921,,
Bend,4.6deg,3.9,27914,294,7158,75
Straight,5.3m,,26492,480,,
