Section,SECT_11_01
Total Length (m),439.69324760113057

Type,Length/Angle,Radius (m),Cumulative Forward (N),Cumulative Reverse (N),Forward Sidewall (N/m),Reverse Sidewall (N/m)
Straight,0.1m,,105,57349,,
Bend,31.4deg,3.9,149,57344,38,14704
Straight,2.4m,,235,40181,,
Bend,5.8deg,3.9,251,40078,64,10276
Straight,5.8m,,443,37532,,
Bend,8.1deg,3.9,486,37278,125,9558
Straight,4.2m,,652,33988,,
Bend,14.3deg,3.9,767,33803,197,8668
Straight,5.3m,,980,28734,,
Bend,7.8deg,3.9,1071,28503,275,7308
Straight,36.2m,,2140,26096,,
Bend,8.9deg,3.9,2928,23999,751,6154
Straight,12.4m,,2645,24537,,
Bend,18.6deg,3.9,3779,21549,969,5525
Straight,3.0m,,3059,21682,,
Bend,4.2deg,3.9,4078,17336,1046,4445
Straight,2.5m,,3887,17444,,
Bend,1.1deg,3.9,5064,15553,1298,3988
Straight,22.6m,,5002,16525,,
Bend,0.7deg,3.9,6684,13697,1714,3512
Straight,39.4m,,6633,15364,,
Bend,5.0deg,3.9,8931,11777,2290,3020
Straight,43.4m,,8439,13594,,
Bend,3.4deg,3.9,9522,10893,2442,2793
Straight,5.4m,,9166,11128,,
Bend,8.4deg,3.9,10686,10297,2740,2640
Straight,4.3m,,9710,10485,,
Bend,4.8deg,3.9,11866,8808,3043,2258
Straight,12.8m,,11237,9357,,
Bend,4.1deg,3.9,12727,8052,3263,2065
Straight,6.6m,,12156,8341,,
Bend,1.5deg,3.9,14121,6566,3621,1684
Straight,27.0m,,13879,7691,,
Bend,0.9deg,3.9,16300,4607,4179,1181
Straight,47.9m,,16134,6454,,
Bend,0.1deg,3.9,17419,3542,4466,908
Straight,25.4m,,17391,4560,,
Bend,3.0deg,3.9,18538,3049,4753,782
Straight,11.6m,,17925,3536,,
Bend,0.2deg,3.9,20044,1635,5140,419
Straight,12.7m,,19092,2948,,
Bend,5.6deg,3.9,22274,955,5711,245
Straight,21.1m,,20004,2425,,
Bend,2.0deg,3.9,24558,311,6297,80
Straight,19.9m,,20904,1632,,
Straight,40.4m,,24005,896,,
