Section,SECT_07_01
Total Length (m),466.5573008717632

Type,Length/Angle,Radius (m),Cumulative Forward (N),Cumulative Reverse (N),Forward Sidewall (N/m),Reverse Sidewall (N/m)
Straight,13.1m,,289,62450,,
Bend,0.2deg,3.9,289,61877,74,15866
Straight,13.7m,,643,61750,,
Bend,2.7deg,3.9,663,61152,170,15680
Straight,1.0m,,707,59315,,
Bend,2.7deg,3.9,729,59271,187,15198
Straight,15.1m,,1244,57490,,
Bend,10.9deg,3.9,1408,56830,361,14572
Straight,3.5m,,1559,50214,,
Bend,20.4deg,3.9,1964,50059,504,12836
Straight,2.8m,,2086,39725,,
Bend,14.3deg,3.9,2452,39601,629,10154
Straight,2.6m,,2564,33686,,
Bend,7.7deg,3.9,2799,33573,718,8608
Straight,1.5m,,2864,30755,,
Bend,5.1deg,3.9,3036,30690,778,7869
Straight,1.2m,,3087,28953,,
Bend,2.7deg,3.9,3181,28902,816,7411
Straight,9.0m,,3563,28041,,
Bend,5.3deg,3.9,3783,27648,970,7089
Straight,5.2m,,4008,26041,,
Bend,3.3deg,3.9,4161,25813,1067,6619
Straight,2.0m,,4246,24867,,
Bend,7.6deg,3.9,4627,24782,1186,6354
Straight,8.1m,,4972,22744,,
Bend,9.2deg,3.9,5518,22393,1415,5742
Straight,22.5m,,6453,20178,,
Bend,1.2deg,3.9,6545,19209,1678,4925
Straight,5.8m,,6795,18940,,
Bend,4.7deg,3.9,7166,18688,1837,4792
Straight,11.1m,,7643,17720,,
Bend,6.1deg,3.9,8192,17238,2101,4420
Straight,32.2m,,9537,16083,,
Bend,1.4deg,3.9,9689,14709,2484,3772
Straight,19.2m,,10508,14479,,
Bend,8.0deg,3.9,12773,12493,3275,3203
Straight,27.2m,,11664,13654,,
Bend,4.7deg,3.9,14408,10524,3694,2698
Straight,20.7m,,13661,11407,,
Bend,5.5deg,3.9,16001,9350,4103,2397
Straight,14.6m,,15040,9978,,
Bend,7.1deg,3.9,17821,8355,4570,2142
Straight,10.0m,,16438,8788,,
Bend,2.1deg,3.9,19010,6983,4874,1791
Straight,17.0m,,18558,7706,,
Bend,4.3deg,3.9,20624,6193,5288,1588
Straight,14.7m,,19646,6817,,
Bend,1.1deg,3.9,22691,4269,5818,1095
Straight,42.0m,,22418,5899,,
Bend,0.8deg,3.9,24293,2977,6229,763
Straight,32.4m,,24084,4218,,
Bend,3.9deg,3.9,26327,2158,6751,553
Straight,20.3m,,25175,2951,,
Bend,1.5deg,3.9,27573,1386,7070,355
Straight,18.2m,,27116,2063,,
Bend,1.2deg,3.9,28842,726,7395,186
Straight,20.3m,,28451,1363,,
Bend,1.4deg,3.9,29917,338,7671,87
Straight,13.8m,,29442,716,,
