Section,SECT_11_04
Total Length (m),447.46039808310144

Type,Length/Angle,Radius (m),Cumulative Forward (N),Cumulative Reverse (N),Forward Sidewall (N/m),Reverse Sidewall (N/m)
Straight,12.4m,,285,76755,,
Bend,11.8deg,3.9,326,76214,84,19542
Straight,7.1m,,565,66673,,
Bend,7.0deg,3.9,611,66364,157,17016
Straight,13.3m,,1060,61272,,
Bend,7.5deg,3.9,1154,60691,296,15562
Straight,9.8m,,1539,55739,,
Bend,6.4deg,3.9,1656,55313,425,14183
Straight,6.5m,,1928,51419,,
Bend,6.9deg,3.9,2085,51135,535,13111
Straight,8.2m,,2426,47283,,
Bend,4.9deg,3.9,2563,46927,657,12032
Straight,7.6m,,2884,44406,,
Bend,1.0deg,3.9,2916,44075,748,11301
Straight,10.8m,,3369,43584,,
Bend,43.4deg,3.9,5512,43113,1413,11054
Straight,5.1m,,5733,26351,,
Bend,37.0deg,3.9,8724,26128,2237,6699
Straight,1.6m,,8796,17169,,
Bend,2.6deg,3.9,9058,17097,2323,4384
Straight,15.9m,,9739,16601,,
Bend,1.6deg,3.9,9919,15914,2543,4081
Straight,14.6m,,10547,15625,,
Bend,2.5deg,3.9,10854,14994,2783,3845
Straight,16.9m,,11580,14570,,
Bend,4.3deg,3.9,12154,13841,3116,3549
Straight,32.5m,,13532,13187,,
Bend,2.7deg,3.9,13951,11811,3577,3028
Straight,20.9m,,14849,11456,,
Bend,3.0deg,3.9,15356,10563,3937,2708
Straight,22.2m,,16310,10214,,
Bend,3.3deg,3.9,16932,9271,4342,2377
Straight,20.4m,,17814,8931,,
Bend,3.1deg,3.9,18461,8063,4734,2067
Straight,20.5m,,19348,7780,,
Bend,3.1deg,3.9,20045,6913,5140,1773
Straight,26.7m,,21197,6673,,
Bend,1.6deg,3.9,21575,5568,5532,1428
Straight,12.8m,,22131,5471,,
Bend,2.2deg,3.9,22678,4929,5815,1264
Straight,29.1m,,23933,4810,,
Bend,1.6deg,3.9,24383,3653,6252,937
Straight,28.7m,,25620,3585,,
Bend,2.4deg,3.9,27334,1649,7009,423
Straight,22.9m,,26611,2495,,
Bend,3.4deg,3.9,29470,857,7556,220
Straight,23.8m,,28364,1606,,
Bend,2.3deg,3.9,31401,319,8052,82
Straight,25.7m,,30581,825,,
